run, program, qubits, run time, number_of_transformations
45, var_q2_01_R, 2, 0.021544218063354492, 3
46, var_q2_01_R, 2, 0.021606922149658203, 3
47, var_q2_01_R, 2, 0.0208437442779541, 3
48, var_q2_01_R, 2, 0.02114558219909668, 3
49, var_q2_01_R, 2, 0.021086931228637695, 3
50, var_q2_01_R, 2, 0.020852088928222656, 3
51, var_q2_01_R, 2, 0.02107405662536621, 3
52, var_q2_01_R, 2, 0.020658493041992188, 3
53, var_q2_01_R, 2, 0.021291017532348633, 3
54, var_q2_01_R, 2, 0.023434877395629883, 3
55, var_q2_01_R, 2, 0.02126908302307129, 3
56, var_q2_01_R, 2, 0.020993471145629883, 3
57, var_q2_01_R, 2, 0.021794795989990234, 3
58, var_q2_01_R, 2, 0.020707130432128906, 3
59, var_q2_01_R, 2, 0.020916223526000977, 3
60, var_q2_01_R, 2, 0.021526813507080078, 3
61, var_q2_01_R, 2, 0.021148681640625, 3
62, var_q2_01_R, 2, 0.021501779556274414, 3
63, var_q2_01_R, 2, 0.021103620529174805, 3
64, var_q2_01_R, 2, 0.021777629852294922, 3
65, var_q2_01_R, 2, 0.021718740463256836, 3
66, var_q2_01_R, 2, 0.021569252014160156, 3
67, var_q2_01_R, 2, 0.0204927921295166, 3
68, var_q2_01_R, 2, 0.020673036575317383, 3
69, var_q2_01_R, 2, 0.021189451217651367, 3
70, var_q2_01_R, 2, 0.020838022232055664, 3
71, var_q2_01_R, 2, 0.020480632781982422, 3
72, var_q2_01_R, 2, 0.021285057067871094, 3
73, var_q2_01_R, 2, 0.02144598960876465, 3
74, var_q2_01_R, 2, 0.021523714065551758, 3
75, var_q2_01_R, 2, 0.021455764770507812, 3
76, var_q2_01_R, 2, 0.020789623260498047, 3
77, var_q2_01_R, 2, 0.04904985427856445, 3
78, var_q2_01_R, 2, 0.020759105682373047, 3
79, var_q2_01_R, 2, 0.020722389221191406, 3
80, var_q2_01_R, 2, 0.020991802215576172, 3
81, var_q2_01_R, 2, 0.02097773551940918, 3
82, var_q2_01_R, 2, 0.020641565322875977, 3
83, var_q2_01_R, 2, 0.020776748657226562, 3
84, var_q2_01_R, 2, 0.021641016006469727, 3
85, var_q2_01_R, 2, 0.020993471145629883, 3
86, var_q2_01_R, 2, 0.020637035369873047, 3
87, var_q2_01_R, 2, 0.020798683166503906, 3
88, var_q2_01_R, 2, 0.021259546279907227, 3
89, var_q2_01_R, 2, 0.021048545837402344, 3
90, var_q2_01_R, 2, 0.021035194396972656, 3
91, var_q2_01_R, 2, 0.02093672752380371, 3
92, var_q2_01_R, 2, 0.021757125854492188, 3
93, var_q2_01_R, 2, 0.021113157272338867, 3
94, var_q2_01_R, 2, 0.020786046981811523, 3
95, var_q2_01_R, 2, 0.021002769470214844, 3
96, var_q2_01_R, 2, 0.02100825309753418, 3
97, var_q2_01_R, 2, 0.021695375442504883, 3
98, var_q2_01_R, 2, 0.021054983139038086, 3
99, var_q2_01_R, 2, 0.024634838104248047, 3
0, var_q2_02_R, 2, 0.06429290771484375, 3
1, var_q2_02_R, 2, 0.021351337432861328, 3
2, var_q2_02_R, 2, 0.02146124839782715, 3
3, var_q2_02_R, 2, 0.021266460418701172, 3
4, var_q2_02_R, 2, 0.02114415168762207, 3
5, var_q2_02_R, 2, 0.02144646644592285, 3
6, var_q2_02_R, 2, 0.021727800369262695, 3
7, var_q2_02_R, 2, 0.02170562744140625, 3
8, var_q2_02_R, 2, 0.021116018295288086, 3
9, var_q2_02_R, 2, 0.02108168601989746, 3
10, var_q2_02_R, 2, 0.020825624465942383, 3
11, var_q2_02_R, 2, 0.02126169204711914, 3
12, var_q2_02_R, 2, 0.02111053466796875, 3
13, var_q2_02_R, 2, 0.0214383602142334, 3
14, var_q2_02_R, 2, 0.021232128143310547, 3
15, var_q2_02_R, 2, 0.021134376525878906, 3
16, var_q2_02_R, 2, 0.02198052406311035, 3
17, var_q2_02_R, 2, 0.021341562271118164, 3
18, var_q2_02_R, 2, 0.02124643325805664, 3
19, var_q2_02_R, 2, 0.021772384643554688, 3
20, var_q2_02_R, 2, 0.021272897720336914, 3
21, var_q2_02_R, 2, 0.021498680114746094, 3
22, var_q2_02_R, 2, 0.021021127700805664, 3
23, var_q2_02_R, 2, 0.021569252014160156, 3
24, var_q2_02_R, 2, 0.021223783493041992, 3
25, var_q2_02_R, 2, 0.02070903778076172, 3
26, var_q2_02_R, 2, 0.021590709686279297, 3
27, var_q2_02_R, 2, 0.021344661712646484, 3
28, var_q2_02_R, 2, 0.021422386169433594, 3
29, var_q2_02_R, 2, 0.021577119827270508, 3
30, var_q2_02_R, 2, 0.02084946632385254, 3
31, var_q2_02_R, 2, 0.02116870880126953, 3
32, var_q2_02_R, 2, 0.021126985549926758, 3
33, var_q2_02_R, 2, 0.021275043487548828, 3
34, var_q2_02_R, 2, 0.021118640899658203, 3
35, var_q2_02_R, 2, 0.02149200439453125, 3
36, var_q2_02_R, 2, 0.021433353424072266, 3
37, var_q2_02_R, 2, 0.02158522605895996, 3
38, var_q2_02_R, 2, 0.021755695343017578, 3
39, var_q2_02_R, 2, 0.021032094955444336, 3
40, var_q2_02_R, 2, 0.02152848243713379, 3
41, var_q2_02_R, 2, 0.021043777465820312, 3
42, var_q2_02_R, 2, 0.02053546905517578, 3
43, var_q2_02_R, 2, 0.020288467407226562, 3
44, var_q2_02_R, 2, 0.020661592483520508, 3
45, var_q2_02_R, 2, 0.020585298538208008, 3
46, var_q2_02_R, 2, 0.020403623580932617, 3
47, var_q2_02_R, 2, 0.020336627960205078, 3
48, var_q2_02_R, 2, 0.020651578903198242, 3
49, var_q2_02_R, 2, 0.020738840103149414, 3
50, var_q2_02_R, 2, 0.020659446716308594, 3
51, var_q2_02_R, 2, 0.020409584045410156, 3
52, var_q2_02_R, 2, 0.020484209060668945, 3
53, var_q2_02_R, 2, 0.02047419548034668, 3
54, var_q2_02_R, 2, 0.02083611488342285, 3
55, var_q2_02_R, 2, 0.020965099334716797, 3
56, var_q2_02_R, 2, 0.02057814598083496, 3
57, var_q2_02_R, 2, 0.020764589309692383, 3
58, var_q2_02_R, 2, 0.020670175552368164, 3
59, var_q2_02_R, 2, 0.02053236961364746, 3
60, var_q2_02_R, 2, 0.020484447479248047, 3
61, var_q2_02_R, 2, 0.020924091339111328, 3
62, var_q2_02_R, 2, 0.02013707160949707, 3
63, var_q2_02_R, 2, 0.021787643432617188, 3
64, var_q2_02_R, 2, 0.020427703857421875, 3
