run, program, qubits, run time, number_of_transformations
4, var_q2_01_R, 2, 0.020363330841064453, 3
5, var_q2_01_R, 2, 0.020438194274902344, 3
6, var_q2_01_R, 2, 0.020424604415893555, 3
7, var_q2_01_R, 2, 0.020473957061767578, 3
8, var_q2_01_R, 2, 0.02053666114807129, 3
9, var_q2_01_R, 2, 0.02005791664123535, 3
10, var_q2_01_R, 2, 0.020227670669555664, 3
11, var_q2_01_R, 2, 0.047521352767944336, 3
12, var_q2_01_R, 2, 0.020051240921020508, 3
13, var_q2_01_R, 2, 0.019959449768066406, 3
14, var_q2_01_R, 2, 0.020260095596313477, 3
15, var_q2_01_R, 2, 0.02043890953063965, 3
16, var_q2_01_R, 2, 0.019762516021728516, 3
17, var_q2_01_R, 2, 0.020283222198486328, 3
18, var_q2_01_R, 2, 0.019924163818359375, 3
19, var_q2_01_R, 2, 0.02016758918762207, 3
20, var_q2_01_R, 2, 0.020219802856445312, 3
21, var_q2_01_R, 2, 0.020673751831054688, 3
22, var_q2_01_R, 2, 0.019913673400878906, 3
23, var_q2_01_R, 2, 0.02012038230895996, 3
24, var_q2_01_R, 2, 0.02048468589782715, 3
25, var_q2_01_R, 2, 0.020565271377563477, 3
26, var_q2_01_R, 2, 0.020520925521850586, 3
27, var_q2_01_R, 2, 0.02010488510131836, 3
28, var_q2_01_R, 2, 0.0195920467376709, 3
29, var_q2_01_R, 2, 0.019668102264404297, 3
30, var_q2_01_R, 2, 0.019992828369140625, 3
31, var_q2_01_R, 2, 0.020222187042236328, 3
32, var_q2_01_R, 2, 0.020132780075073242, 3
33, var_q2_01_R, 2, 0.02019524574279785, 3
34, var_q2_01_R, 2, 0.020467519760131836, 3
35, var_q2_01_R, 2, 0.020011425018310547, 3
36, var_q2_01_R, 2, 0.020009279251098633, 3
37, var_q2_01_R, 2, 0.020382165908813477, 3
38, var_q2_01_R, 2, 0.020354747772216797, 3
39, var_q2_01_R, 2, 0.020351648330688477, 3
40, var_q2_01_R, 2, 0.020633935928344727, 3
41, var_q2_01_R, 2, 0.020407915115356445, 3
42, var_q2_01_R, 2, 0.020266294479370117, 3
43, var_q2_01_R, 2, 0.02052783966064453, 3
44, var_q2_01_R, 2, 0.02020263671875, 3
45, var_q2_01_R, 2, 0.02030658721923828, 3
46, var_q2_01_R, 2, 0.0206906795501709, 3
47, var_q2_01_R, 2, 0.020297527313232422, 3
48, var_q2_01_R, 2, 0.02021932601928711, 3
49, var_q2_01_R, 2, 0.020133018493652344, 3
50, var_q2_01_R, 2, 0.020039796829223633, 3
51, var_q2_01_R, 2, 0.02263021469116211, 3
52, var_q2_01_R, 2, 0.02175617218017578, 3
53, var_q2_01_R, 2, 0.02064681053161621, 3
54, var_q2_01_R, 2, 0.020451784133911133, 3
55, var_q2_01_R, 2, 0.0199582576751709, 3
56, var_q2_01_R, 2, 0.02079463005065918, 3
57, var_q2_01_R, 2, 0.020385265350341797, 3
58, var_q2_01_R, 2, 0.020366668701171875, 3
59, var_q2_01_R, 2, 0.020601987838745117, 3
60, var_q2_01_R, 2, 0.01999378204345703, 3
61, var_q2_01_R, 2, 0.01995563507080078, 3
62, var_q2_01_R, 2, 0.019974470138549805, 3
63, var_q2_01_R, 2, 0.020421743392944336, 3
64, var_q2_01_R, 2, 0.020200014114379883, 3
65, var_q2_01_R, 2, 0.020314455032348633, 3
66, var_q2_01_R, 2, 0.020672082901000977, 3
67, var_q2_01_R, 2, 0.020134687423706055, 3
68, var_q2_01_R, 2, 0.02066946029663086, 3
69, var_q2_01_R, 2, 0.020491361618041992, 3
70, var_q2_01_R, 2, 0.0211031436920166, 3
71, var_q2_01_R, 2, 0.020493268966674805, 3
72, var_q2_01_R, 2, 0.02017664909362793, 3
73, var_q2_01_R, 2, 0.02007436752319336, 3
74, var_q2_01_R, 2, 0.020322084426879883, 3
75, var_q2_01_R, 2, 0.020650148391723633, 3
76, var_q2_01_R, 2, 0.020607709884643555, 3
77, var_q2_01_R, 2, 0.019828081130981445, 3
78, var_q2_01_R, 2, 0.01985907554626465, 3
79, var_q2_01_R, 2, 0.02026224136352539, 3
80, var_q2_01_R, 2, 0.020375490188598633, 3
81, var_q2_01_R, 2, 0.02022838592529297, 3
82, var_q2_01_R, 2, 0.020165443420410156, 3
83, var_q2_01_R, 2, 0.02029275894165039, 3
84, var_q2_01_R, 2, 0.020380735397338867, 3
85, var_q2_01_R, 2, 0.020587921142578125, 3
86, var_q2_01_R, 2, 0.020115137100219727, 3
87, var_q2_01_R, 2, 0.020439863204956055, 3
88, var_q2_01_R, 2, 0.02036571502685547, 3
89, var_q2_01_R, 2, 0.020275354385375977, 3
90, var_q2_01_R, 2, 0.020487070083618164, 3
91, var_q2_01_R, 2, 0.02057790756225586, 3
92, var_q2_01_R, 2, 0.02124190330505371, 3
93, var_q2_01_R, 2, 0.020371675491333008, 3
94, var_q2_01_R, 2, 0.020205974578857422, 3
95, var_q2_01_R, 2, 0.020386934280395508, 3
96, var_q2_01_R, 2, 0.020334959030151367, 3
